,title,url
197,Les Poissons et le Berger qui joue de la flûte,http:/www.lesfables.fr/livre-10/les-poissons-et-le-berger-qui-joue-de-la-flute
198,"Les deux Perroquets, le Roi et son Fils",http:/www.lesfables.fr/livre-10/les-deux-perroquets-le-roi-et-son-fils
199,La Lionne et l’Ourse,http:/www.lesfables.fr/livre-10/la-lionne-et-l-ourse
200,Les deux Aventuriers et le Talisman,http:/www.lesfables.fr/livre-10/les-deux-aventuriers-et-le-talisman
201,Discours à Monsieur le Duc de La Rochefoucauld,http:/www.lesfables.fr/livre-10/discours-monsieur-le-duc-de-la-rochefoucauld
202,"Le Marchand, le Gentilhomme, le Pâtre et le Fils de roi",http:/www.lesfables.fr/livre-10/le-marchand-le-gentilhomme-le-patre-et-le-fils-de-roi
203,Le Lion,http:/www.lesfables.fr/livre-11/le-lion
204,Pour Monseigneur le Duc du Maine,http:/www.lesfables.fr/livre-11/pour-monseigneur-le-duc-du-maine
205,"Le Fermier, le Chien et le Renard",http:/www.lesfables.fr/livre-11/le-fermier-le-chien-et-le-renard
206,Le Songe d’un Habitant du Mogol,http:/www.lesfables.fr/livre-11/le-songe-d-un-habitant-du-mogol
207,"Le Lion, le Singe et les deux Ânes",http:/www.lesfables.fr/livre-11/le-lion-le-singe-et-les-deux-anes
208,Le Loup et le Renard,http:/www.lesfables.fr/livre-12/le-loup-et-le-renard
209,Le Paysan du Danube,http:/www.lesfables.fr/livre-11/le-paysan-du-danube
210,Le Vieillard et les trois jeunes Hommes,http:/www.lesfables.fr/livre-11/le-vieillard-et-les-trois-jeunes-hommes
211,Les Souris et le Chat-Huant,http:/www.lesfables.fr/livre-11/les-souris-et-le-chat-huant
212,Les Compagnons d’Ulysse,http:/www.lesfables.fr/livre-12/les-compagnons-d-ulysse
213,Le Chat et les deux Moineaux,http:/www.lesfables.fr/livre-12/le-chat-et-les-deux-moineaux
214,Du Thésauriseur et du Singe,http:/www.lesfables.fr/livre-12/du-thesauriseur-et-du-singe
215,Les deux Chèvres,http:/www.lesfables.fr/livre-12/les-deux-chevres
216,Le Vieux Chat et la jeune Souris,http:/www.lesfables.fr/livre-12/le-vieux-chat-et-la-jeune-souris
217,Le Cerf malade,http:/www.lesfables.fr/livre-12/le-cerf-malade
218,"La Chauve-Souris, le Buisson et le Canard",http:/www.lesfables.fr/livre-12/la-chauve-souris-le-buisson-et-le-canard
219,La Querelle des chiens et des chats et celle des chats et des souris,http:/www.lesfables.fr/livre-12/la-querelle-des-chiens-et-des-chats-et-celle-des-chats-et-des-souris
220,L’Écrevisse et sa Fille,http:/www.lesfables.fr/livre-12/l-ecrevisse-et-sa-fille
221,L’Aigle et la Pie,http:/www.lesfables.fr/livre-12/l-aigle-et-la-pie
222,"Le Milan, le Roi et le Chasseur",http:/www.lesfables.fr/livre-12/le-milan-le-roi-et-le-chasseur
223,"Le Renard, les Mouches et le Hérisson",http:/www.lesfables.fr/livre-12/le-renard-les-mouches-et-le-herisson
224,L’Amour et la Folie,http:/www.lesfables.fr/livre-12/l-amour-et-la-folie
225,"Le Corbeau, la Gazelle, la Tortue et le Rat",http:/www.lesfables.fr/livre-12/le-corbeau-la-gazelle-la-tortue-et-le-rat
226,La Forêt et le Bûcheron,http:/www.lesfables.fr/livre-12/la-foret-et-le-bucheron
227,"Le Renard, le Loup et le Cheval",http:/www.lesfables.fr/livre-12/le-renard-le-loup-et-le-cheval
228,Le Renard et les Poulets d’Inde,http:/www.lesfables.fr/livre-12/le-renard-et-les-poulets-d-inde
229,Le Singe,http:/www.lesfables.fr/livre-12/le-singe
230,Le Philosophe scythe,http:/www.lesfables.fr/livre-12/le-philosophe-scythe
231,"L’Eléphant, et le Singe de Jupiter",http:/www.lesfables.fr/livre-12/l-elephant-et-le-singe-de-jupiter
232,Un Fou et un Sage,http:/www.lesfables.fr/livre-12/un-fou-et-un-sage
233,Le Renard anglais,http:/www.lesfables.fr/livre-12/le-renard-anglais
234,Daphnis et Alcimadure,http:/www.lesfables.fr/livre-12/daphnis-et-alcimadure
235,Philémon et Baucis,http:/www.lesfables.fr/livre-12/philemon-et-baucis
236,La Matrone d’Éphèse,http:/www.lesfables.fr/livre-12/la-matrone-d-ephese
237,Belphégor,http:/www.lesfables.fr/livre-12/belphegor
238,Les Filles de Minée,http:/www.lesfables.fr/livre-12/les-filles-de-minee
239,"Le Juge arbitre, l’Hospitalier et le Solitaire",http:/www.lesfables.fr/livre-12/le-juge-arbitre-l-hospitalier-et-le-solitaire
